15		3		3		0		
15		5		5		0		
20		5		5		0		
25		5		5		0		
27		3		3		0		
27		9		9		0		
30		3		3		0		
30		5		5		0		
30		6		6		0		
30		10		10		0		
35		5		5		0		
36		6		6		0		
36		9		9		0		
39		3		3		0		
40		5		5		0		
40		10		10		0		
42		3		3		0		
42		6		6		0		
44		11		11		0		
45		3		3		0		
45		5		5		0		
45		9		9		0		
48		6		6		0		
50		5		5		0		
50		10		10		0		
51		3		3		0		
51		17		17		0		
54		3		3		0		
54		9		9		0		
54		18		18		0		
55		5		5		0		
55		11		11		0		
57		3		3		0		
57		19		19		0		
60		3		3		0		
60		5		5		0		
60		10		10		0		
60		12		12		0		
60		20		20		0		
63		7		7		0		
63		9		9		0		
63		21		21		0		
66		11		11		0		
68		17		17		0		
70		5		5		0		
70		10		10		0		
72		9		9		0		
72		12		12		0		
72		18		18		0		
75		3		3		0		
75		5		5		0		
76		19		19		0		
78		3		3		0		
78		6		6		0		
78		13		13		0		
80		5		5		0		
80		10		10		0		
80		20		20		0		
81		9		9		0		
84		6		6		0		
84		12		12		0		
84		21		21		0		
85		5		5		0		
85		17		17		0		
87		3		3		0		
88		22		22		0		
90		3		3		0		
90		5		5		0		
90		6		6		0		
90		9		9		0		
90		10		10		0		
90		18		18		0		
91		13		13		0		
92		23		23		0		
93		3		3		0		
95		5		5		0		
95		19		19		0		
96		6		6		0		
96		12		12		0		
99		3		3		0		
99		9		9		0		
99		33		33		0		
100		5		5		0		
100		10		10		0		
100		20		20		0		
102		3		3		0		
102		17		17		0		
102		34		34		0		
104		13		13		0		
105		3		3		0		
105		5		5		0		
105		21		21		0		
105		35		35		0		
108		3		3		0		
108		9		9		0		
108		18		18		0		
108		36		36		0		
110		5		5		0		
110		10		10		0		
110		11		11		0		
110		22		22		0		
111		37		37		0		
114		3		3		0		
114		19		19		0		
114		38		38		0		
115		5		5		0		
115		23		23		0		
117		3		3		0		
117		9		9		0		
117		13		13		0		
117		39		39		0		
119		7		7		0		
119		17		17		0		
120		3		3		0		
120		5		5		0		
120		10		10		0		
120		20		20		0		
120		24		24		0		
120		40		40		0		
121		11		11		0		
123		41		41		0		
125		5		5		0		
125		25		25		0		
126		7		7		0		
126		9		9		0		
126		14		14		0		
126		18		18		0		
126		21		21		0		
126		42		42		0		
130		5		5		0		
130		10		10		0		
130		13		13		0		
132		6		6		0		
132		11		11		0		
132		22		22		0		
132		33		33		0		
133		19		19		0		
135		3		3		0		
135		5		5		0		
135		9		9		0		
136		17		17		0		
136		34		34		0		
138		3		3		0		
138		6		6		0		
138		23		23		0		
140		5		5		0		
140		10		10		0		
140		14		14		0		
140		20		20		0		
140		35		35		0		
141		3		3		0		
143		11		11		0		
144		6		6		0		
144		9		9		0		
144		18		18		0		
144		24		24		0		
144		36		36		0		
145		5		5		0		
147		3		3		0		
147		21		21		0		
148		37		37		0		
150		3		3		0		
150		5		5		0		
150		10		10		0		
150		25		25		0		
